Field No.,Plot,Rep,Entry,trial
SNY01-187,402,4,Ferimon,dual_replant
SNY01-188,403,4,Hlukhivskii-51,dual_replant
SNY01-189,404,4,Altair,dual_replant
SNY01-190,405,4,Futura 75,dual_replant
SNY01-191,406,4,NWG-Elite,dual_replant
SNY01-192,407,4,Hlesia,dual_replant
SNY01-193,408,4,Vega,dual_replant
SNY01-194,409,4,Felina 32,dual_replant
SNY01-195,410,4,NWG-Abound,dual_replant
SNY01-196,411,4,Rigel,dual_replant
SNY01-197,412,4,Fedora 17,dual_replant
SNY01-198,413,4,Anka,dual_replant
SNY01-199,414,4,Hliana,dual_replant
SNY01-200,415,4,Bialobrzeskie,dual_replant
SNY01-17,101,1,Picolo,grain_original
SNY01-18,102,1,CFX-2,grain_original
SNY01-19,103,1,Joey,grain_original
SNY01-20,104,1,Henola,grain_original
SNY01-21,105,1,X-59,grain_original
SNY01-22,106,1,Canda,grain_original
SNY01-23,107,1,CRS-1,grain_original
SNY01-24,108,1,USO-31,grain_original
SNY01-25,201,2,CRS-1,grain_original
SNY01-26,202,2,Picolo,grain_original
SNY01-27,203,2,Henola,grain_original
SNY01-28,204,2,CFX-2,grain_original
SNY01-29,205,2,X-59,grain_original
SNY01-30,206,2,Joey,grain_original
SNY01-31,207,2,Canda,grain_original
SNY01-32,208,2,USO-31,grain_original
SNY01-33,301,3,CRS-1,grain_original
SNY01-34,302,3,USO-31,grain_original
SNY01-35,303,3,Canda,grain_original
SNY01-36,304,3,Henola,grain_original
SNY01-37,305,3,CFX-2,grain_original
SNY01-38,306,3,X-59,grain_original
SNY01-39,307,3,Picolo,grain_original
SNY01-40,308,3,Joey,grain_original
SNY01-41,401,4,Canda,grain_original
SNY01-42,402,4,USO-31,grain_original
SNY01-43,403,4,CFX-2,grain_original
SNY01-44,404,4,Picolo,grain_original
SNY01-45,405,4,Joey,grain_original
SNY01-46,406,4,Henola,grain_original
SNY01-47,407,4,CRS-1,grain_original
SNY01-48,408,4,X-59,grain_original
MS20-1,101,1,Hlesia,multistate
MS20-2,102,1,Katani,multistate
MS20-3,103,1,CFX-1,multistate
MS20-4,104,1,Bialobrzeskie,multistate
MS20-5,105,1,Hlukhovskii 51,multistate
MS20-6,106,1,Henola,multistate
MS20-7,107,1,Altair,multistate
MS20-8,108,1,Anka,multistate
MS20-9,109,1,X-59,multistate
MS20-10,110,1,CRS-1,multistate
MS20-11,111,1,NWG-2730,multistate
MS20-12,112,1,Hliana,multistate
MS20-13,113,1,NWG-452,multistate
MS20-14,201,2,Hlesia,multistate
MS20-15,202,2,NWG-452,multistate
MS20-16,203,2,X-59,multistate
MS20-17,204,2,CFX-1,multistate
MS20-18,205,2,NWG-2730,multistate
MS20-19,206,2,Anka,multistate
MS20-20,207,2,Hliana,multistate
MS20-21,208,2,Bialobrzeskie,multistate
MS20-22,209,2,Henola,multistate
MS20-23,210,2,CRS-1,multistate
MS20-24,211,2,Katani,multistate
MS20-25,212,2,Altair,multistate
MS20-26,213,2,Hlukhovskii 51,multistate
MS20-27,301,3,X-59,multistate
MS20-28,302,3,Hlesia,multistate
MS20-29,303,3,Henola,multistate
MS20-30,304,3,Bialobrzeskie,multistate
MS20-31,305,3,NWG-452,multistate
MS20-32,306,3,CRS-1,multistate
MS20-33,307,3,Hliana,multistate
MS20-34,308,3,NWG-2730,multistate
MS20-35,309,3,Hlukhovskii 51,multistate
MS20-36,310,3,Altair,multistate
MS20-37,311,3,Katani,multistate
MS20-38,312,3,Anka,multistate
MS20-39,313,3,CFX-1,multistate
MS20-40,401,4,NWG-2730,multistate
MS20-41,402,4,Henola,multistate
MS20-42,403,4,NWG-452,multistate
MS20-43,404,4,Hlukhovskii 51,multistate
MS20-44,405,4,X-59,multistate
MS20-45,406,4,Katani,multistate
MS20-46,407,4,CRS-1,multistate
MS20-47,408,4,Bialobrzeskie,multistate
MS20-48,409,4,Hliana,multistate
MS20-49,410,4,CFX-1,multistate
MS20-50,411,4,Altair,multistate
MS20-51,412,4,Hlesia,multistate
MS20-52,413,4,Anka,multistate
SNY01-1,101,1,Yuma Crossbow,fiber
SNY01-2,102,1,Carmagnola Selezionata,fiber
SNY01-3,103,1,Jinma,fiber
SNY01-4,104,1,Carmagnola,fiber
SNY01-5,201,2,Yuma Crossbow,fiber
SNY01-6,202,2,Carmagnola,fiber
SNY01-7,203,2,Jinma,fiber
SNY01-8,204,2,Carmagnola Selezionata,fiber
SNY01-9,301,3,Carmagnola Selezionata,fiber
SNY01-10,302,3,Carmagnola,fiber
SNY01-11,303,3,Jinma,fiber
SNY01-12,304,3,Yuma Crossbow,fiber
SNY01-13,401,4,Carmagnola,fiber
SNY01-14,402,4,Yuma Crossbow,fiber
SNY01-15,403,4,Jinma,fiber
SNY01-16,404,4,Carmagnola Selezionata,fiber
